
> peermesh@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.71:3000
- Environments: .env.local
✓ Ready in 1501ms
Creating turbopack project { dir: 'C:\\Users\\ajibe\\peermesh', testMode: true }

○ Compiling / ...
 GET / 200 in 150ms (next.js: 12ms, proxy.ts: 16ms, application-code: 122ms)
 GET /auth? 200 in 189ms (next.js: 7ms, proxy.ts: 8ms, application-code: 175ms)
 GET /auth? 200 in 174ms (next.js: 5ms, proxy.ts: 6ms, application-code: 163ms)
 GET /auth? 200 in 116ms (next.js: 6ms, proxy.ts: 9ms, application-code: 101ms)
 GET /auth? 200 in 103ms (next.js: 8ms, proxy.ts: 6ms, application-code: 88ms)
 GET /auth? 200 in 119ms (next.js: 6ms, proxy.ts: 9ms, application-code: 104ms)
 GET /auth? 200 in 150ms (next.js: 6ms, proxy.ts: 9ms, application-code: 135ms)
 GET /auth? 200 in 134ms (next.js: 33ms, proxy.ts: 10ms, application-code: 92ms)
 GET /auth? 200 in 164ms (next.js: 9ms, proxy.ts: 10ms, application-code: 145ms)
 GET /auth? 200 in 165ms (next.js: 8ms, proxy.ts: 8ms, application-code: 149ms)
 GET /auth? 200 in 271ms (next.js: 8ms, proxy.ts: 9ms, application-code: 255ms)
 GET /auth? 200 in 207ms (next.js: 7ms, proxy.ts: 9ms, application-code: 191ms)
 GET /auth? 200 in 504ms (next.js: 17ms, proxy.ts: 10ms, application-code: 477ms)
 GET /auth? 200 in 146ms (next.js: 8ms, proxy.ts: 6ms, application-code: 132ms)
 GET /auth? 200 in 1546ms (next.js: 409ms, proxy.ts: 370ms, application-code: 767ms)
 GET /auth? 200 in 136ms (next.js: 6ms, proxy.ts: 11ms, application-code: 120ms)
 GET /auth? 200 in 182ms (next.js: 23ms, proxy.ts: 8ms, application-code: 150ms)
 GET /auth? 200 in 120ms (next.js: 6ms, proxy.ts: 6ms, application-code: 108ms)
 GET /auth? 200 in 208ms (next.js: 7ms, proxy.ts: 7ms, application-code: 194ms)
 GET /auth? 200 in 168ms (next.js: 8ms, proxy.ts: 10ms, application-code: 150ms)
 GET /auth? 200 in 132ms (next.js: 6ms, proxy.ts: 7ms, application-code: 118ms)
 GET /auth? 200 in 191ms (next.js: 15ms, proxy.ts: 9ms, application-code: 167ms)
 GET /auth? 200 in 160ms (next.js: 7ms, proxy.ts: 11ms, application-code: 142ms)
 GET /auth? 200 in 131ms (next.js: 10ms, proxy.ts: 6ms, application-code: 115ms)
 GET /auth? 200 in 149ms (next.js: 6ms, proxy.ts: 6ms, application-code: 137ms)
 GET /auth? 200 in 1601ms (next.js: 495ms, proxy.ts: 144ms, application-code: 962ms)
 GET /auth? 200 in 228ms (next.js: 15ms, proxy.ts: 23ms, application-code: 189ms)
 GET /auth? 200 in 134ms (next.js: 6ms, proxy.ts: 7ms, application-code: 121ms)
 GET /auth? 200 in 149ms (next.js: 8ms, proxy.ts: 7ms, application-code: 134ms)
 GET /auth? 200 in 164ms (next.js: 8ms, proxy.ts: 7ms, application-code: 148ms)
 GET /auth? 200 in 157ms (next.js: 11ms, proxy.ts: 10ms, application-code: 136ms)
 GET /auth? 200 in 240ms (next.js: 6ms, proxy.ts: 7ms, application-code: 226ms)
 GET /auth? 200 in 349ms (next.js: 7ms, proxy.ts: 7ms, application-code: 335ms)
 GET /auth? 200 in 230ms (next.js: 8ms, proxy.ts: 7ms, application-code: 215ms)
 GET /auth? 200 in 371ms (next.js: 10ms, proxy.ts: 12ms, application-code: 350ms)
 GET /auth? 200 in 188ms (next.js: 5ms, proxy.ts: 11ms, application-code: 172ms)
 GET /auth? 200 in 168ms (next.js: 11ms, proxy.ts: 10ms, application-code: 147ms)
 GET /auth? 200 in 158ms (next.js: 15ms, proxy.ts: 7ms, application-code: 136ms)
 GET /auth? 200 in 202ms (next.js: 17ms, proxy.ts: 11ms, application-code: 173ms)
 GET /auth? 200 in 669ms (next.js: 54ms, proxy.ts: 11ms, application-code: 603ms)
 GET /auth? 200 in 172ms (next.js: 8ms, proxy.ts: 9ms, application-code: 154ms)
 GET /auth? 200 in 151ms (next.js: 7ms, proxy.ts: 9ms, application-code: 134ms)
 GET /auth? 200 in 283ms (next.js: 18ms, proxy.ts: 8ms, application-code: 257ms)
 GET /auth? 200 in 166ms (next.js: 11ms, proxy.ts: 8ms, application-code: 147ms)
 GET /auth? 200 in 180ms (next.js: 9ms, proxy.ts: 7ms, application-code: 164ms)
 GET /auth? 200 in 245ms (next.js: 13ms, proxy.ts: 7ms, application-code: 226ms)
 GET /auth? 200 in 141ms (next.js: 6ms, proxy.ts: 11ms, application-code: 125ms)
 GET /auth? 200 in 92ms (next.js: 6ms, proxy.ts: 6ms, application-code: 80ms)
 GET /auth? 200 in 119ms (next.js: 6ms, proxy.ts: 6ms, application-code: 106ms)
 GET /auth? 200 in 153ms (next.js: 6ms, proxy.ts: 4ms, application-code: 144ms)
 GET /auth? 200 in 118ms (next.js: 6ms, proxy.ts: 10ms, application-code: 102ms)
 GET /auth? 200 in 153ms (next.js: 4ms, proxy.ts: 5ms, application-code: 143ms)
 GET /auth? 200 in 127ms (next.js: 8ms, proxy.ts: 7ms, application-code: 111ms)
 GET /auth? 200 in 242ms (next.js: 5ms, proxy.ts: 8ms, application-code: 229ms)
 GET /auth? 200 in 260ms (next.js: 11ms, proxy.ts: 8ms, application-code: 240ms)
 GET /auth? 200 in 125ms (next.js: 6ms, proxy.ts: 8ms, application-code: 111ms)
 GET /auth? 200 in 113ms (next.js: 9ms, proxy.ts: 11ms, application-code: 93ms)
 GET /auth? 200 in 136ms (next.js: 7ms, proxy.ts: 6ms, application-code: 122ms)
 GET /auth? 200 in 126ms (next.js: 7ms, proxy.ts: 7ms, application-code: 111ms)
 GET /auth? 200 in 204ms (next.js: 8ms, proxy.ts: 7ms, application-code: 189ms)
 GET /auth? 200 in 125ms (next.js: 5ms, proxy.ts: 6ms, application-code: 114ms)
 GET /auth? 200 in 168ms (next.js: 7ms, proxy.ts: 9ms, application-code: 152ms)
 GET /auth? 200 in 156ms (next.js: 6ms, proxy.ts: 8ms, application-code: 142ms)
 GET /auth? 200 in 130ms (next.js: 7ms, proxy.ts: 7ms, application-code: 116ms)
 GET /auth? 200 in 224ms (next.js: 9ms, proxy.ts: 7ms, application-code: 208ms)
 GET /auth? 200 in 182ms (next.js: 6ms, proxy.ts: 6ms, application-code: 170ms)
 GET /auth? 200 in 139ms (next.js: 8ms, proxy.ts: 8ms, application-code: 123ms)
 GET /auth? 200 in 130ms (next.js: 9ms, proxy.ts: 7ms, application-code: 115ms)
 GET /auth? 200 in 184ms (next.js: 6ms, proxy.ts: 6ms, application-code: 172ms)
 GET /auth? 200 in 127ms (next.js: 6ms, proxy.ts: 7ms, application-code: 115ms)
 GET /auth? 200 in 227ms (next.js: 6ms, proxy.ts: 11ms, application-code: 209ms)
 GET /auth? 200 in 295ms (next.js: 8ms, proxy.ts: 7ms, application-code: 280ms)
 GET /auth? 200 in 147ms (next.js: 9ms, proxy.ts: 8ms, application-code: 130ms)
 GET /auth? 200 in 1489ms (next.js: 225ms, proxy.ts: 179ms, application-code: 1085ms)
 GET /auth? 200 in 1057ms (next.js: 420ms, proxy.ts: 84ms, application-code: 554ms)
 GET /auth? 200 in 594ms (next.js: 155ms, proxy.ts: 52ms, application-code: 386ms)
 GET /auth? 200 in 256ms (next.js: 9ms, proxy.ts: 13ms, application-code: 234ms)
 GET /auth? 200 in 129ms (next.js: 6ms, proxy.ts: 6ms, application-code: 117ms)
 GET /auth? 200 in 271ms (next.js: 15ms, proxy.ts: 9ms, application-code: 247ms)
 GET /auth? 200 in 161ms (next.js: 7ms, proxy.ts: 8ms, application-code: 146ms)
 GET /auth? 200 in 320ms (next.js: 12ms, proxy.ts: 10ms, application-code: 297ms)
 GET /auth? 200 in 96ms (next.js: 6ms, proxy.ts: 6ms, application-code: 84ms)
 GET /auth? 200 in 158ms (next.js: 14ms, proxy.ts: 12ms, application-code: 132ms)
 GET /auth? 200 in 133ms (next.js: 11ms, proxy.ts: 8ms, application-code: 114ms)
 GET /auth? 200 in 339ms (next.js: 14ms, proxy.ts: 9ms, application-code: 317ms)
 GET /auth? 200 in 277ms (next.js: 12ms, proxy.ts: 9ms, application-code: 256ms)
 GET /auth? 200 in 209ms (next.js: 14ms, proxy.ts: 13ms, application-code: 182ms)
 GET /auth? 200 in 223ms (next.js: 10ms, proxy.ts: 14ms, application-code: 198ms)
 GET /auth? 200 in 196ms (next.js: 7ms, proxy.ts: 7ms, application-code: 182ms)
 GET /auth? 200 in 108ms (next.js: 12ms, proxy.ts: 8ms, application-code: 87ms)
 GET /auth? 200 in 250ms (next.js: 7ms, proxy.ts: 8ms, application-code: 234ms)
 GET /auth? 200 in 297ms (next.js: 29ms, proxy.ts: 10ms, application-code: 258ms)
 GET /auth? 200 in 576ms (next.js: 12ms, proxy.ts: 13ms, application-code: 551ms)
 GET /auth? 200 in 189ms (next.js: 10ms, proxy.ts: 15ms, application-code: 164ms)
 GET /auth? 200 in 149ms (next.js: 11ms, proxy.ts: 10ms, application-code: 127ms)
 GET /auth? 200 in 97ms (next.js: 7ms, proxy.ts: 8ms, application-code: 82ms)
 GET /auth? 200 in 84ms (next.js: 5ms, proxy.ts: 6ms, application-code: 73ms)
 GET /auth? 200 in 80ms (next.js: 7ms, proxy.ts: 6ms, application-code: 67ms)
 GET /auth? 200 in 167ms (next.js: 9ms, proxy.ts: 15ms, application-code: 143ms)
 GET /auth? 200 in 165ms (next.js: 15ms, proxy.ts: 10ms, application-code: 140ms)
 GET /auth? 200 in 233ms (next.js: 18ms, proxy.ts: 8ms, application-code: 206ms)
 GET /auth? 200 in 134ms (next.js: 7ms, proxy.ts: 9ms, application-code: 118ms)
 GET /auth? 200 in 164ms (next.js: 13ms, proxy.ts: 7ms, application-code: 143ms)
 GET /auth? 200 in 108ms (next.js: 8ms, proxy.ts: 10ms, application-code: 90ms)
 GET /auth? 200 in 141ms (next.js: 6ms, proxy.ts: 6ms, application-code: 128ms)
